League,Season,HalfTimeState,FullTimeState,TransitionClass,TeamMatchRows,HalfTimeStateTotal,TransitionRatePct,MatrixLabel
English Premier League,2015/16,Ahead,Draw,Lead Slip,36,212,16.98,"Lead Slip
16.98%"
English Premier League,2015/16,Ahead,Loss,Lead Collapse,17,212,8.02,"Lead Collapse
8.02%"
English Premier League,2015/16,Ahead,Win,Protected Lead,159,212,75.0,"Protected Lead
75.0%"
English Premier League,2015/16,Behind,Draw,Recovery Draw,36,212,16.98,"Recovery Draw
16.98%"
English Premier League,2015/16,Behind,Loss,No Recovery,159,212,75.0,"No Recovery
75.0%"
English Premier League,2015/16,Behind,Win,Comeback Win,17,212,8.02,"Comeback Win
8.02%"
English Premier League,2015/16,Level,Draw,Stable Draw,142,336,42.26,"Stable Draw
42.26%"
English Premier League,2015/16,Level,Loss,Draw Lost,97,336,28.87,"Draw Lost
28.87%"
English Premier League,2015/16,Level,Win,Draw Breakthrough,97,336,28.87,"Draw Breakthrough
28.87%"
English Premier League,2016/17,Ahead,Draw,Lead Slip,34,227,14.98,"Lead Slip
14.98%"
English Premier League,2016/17,Ahead,Loss,Lead Collapse,12,227,5.29,"Lead Collapse
5.29%"
English Premier League,2016/17,Ahead,Win,Protected Lead,181,227,79.74,"Protected Lead
79.74%"
English Premier League,2016/17,Behind,Draw,Recovery Draw,34,227,14.98,"Recovery Draw
14.98%"
English Premier League,2016/17,Behind,Loss,No Recovery,181,227,79.74,"No Recovery
79.74%"
English Premier League,2016/17,Behind,Win,Comeback Win,12,227,5.29,"Comeback Win
5.29%"
English Premier League,2016/17,Level,Draw,Stable Draw,100,306,32.68,"Stable Draw
32.68%"
English Premier League,2016/17,Level,Loss,Draw Lost,103,306,33.66,"Draw Lost
33.66%"
English Premier League,2016/17,Level,Win,Draw Breakthrough,103,306,33.66,"Draw Breakthrough
33.66%"
English Premier League,2017/18,Ahead,Draw,Lead Slip,32,218,14.68,"Lead Slip
14.68%"
English Premier League,2017/18,Ahead,Loss,Lead Collapse,18,218,8.26,"Lead Collapse
8.26%"
English Premier League,2017/18,Ahead,Win,Protected Lead,168,218,77.06,"Protected Lead
77.06%"
English Premier League,2017/18,Behind,Draw,Recovery Draw,32,218,14.68,"Recovery Draw
14.68%"
