League,Season,TeamMatchRows,LeadOpportunities,BehindOpportunities,LevelOpportunities,ProtectedLeads,LeadSlips,LeadCollapses,ComebackWins,RecoveryDraws,DrawBreakthroughs,StateChanges,Points,GoalsFor,GoalsAgainst,AvgSwingIntensity,AvgTotalMatchCards,AvgSecondHalfGoalShare,LeadShieldPct,CollapseExposurePct,LeadCollapsePct,ResilienceRatePct,ComebackWinRatePct,DrawBreakthroughRatePct,StateChangeRatePct,PointsPerMatch,GoalsForPerMatch,GoalsAgainstPerMatch,MatchRows,VolatileMatches,AvgTotalGoals,AvgSecondHalfGoals,AvgSwingIntensityMatchLevel,AvgTotalCards,AvgTotalShots,MatchVolatilityRatePct
English Premier League,2015/16,760.0,212.0,212.0,336.0,159.0,36.0,17.0,17.0,36.0,97.0,300.0,1033.0,1026.0,1026.0,0.8973684210526316,3.2578947368421054,0.5584902298850575,75.0,25.0,8.02,25.0,8.02,28.87,39.47,1.359,1.35,1.35,380,150,2.7,1.4973684210526317,0.8973684210526316,3.2578947368421054,25.707894736842107,39.47
English Premier League,2016/17,760.0,227.0,227.0,306.0,181.0,34.0,12.0,12.0,34.0,103.0,298.0,1056.0,1064.0,1064.0,0.9947368421052631,3.7394736842105263,0.5689951841359774,79.74,20.26,5.29,20.26,5.29,33.66,39.21,1.389,1.4,1.4,380,149,2.8,1.5842105263157895,0.9947368421052631,3.7394736842105263,25.49736842105263,39.21
English Premier League,2017/18,760.0,218.0,218.0,324.0,168.0,32.0,18.0,18.0,32.0,95.0,290.0,1041.0,1018.0,1018.0,0.9973684210526316,3.1473684210526316,0.5874833333333332,77.06,22.94,8.26,22.94,8.26,29.32,38.16,1.37,1.339,1.339,380,145,2.6789473684210527,1.555263157894737,0.9973684210526316,3.1473684210526316,24.44736842105263,38.16
English Premier League,2018/19,760.0,232.0,232.0,296.0,186.0,29.0,17.0,17.0,29.0,106.0,304.0,1069.0,1072.0,1072.0,1.0263157894736843,3.3342105263157893,0.5667801675977654,80.17,19.83,7.33,19.83,7.33,35.81,40.0,1.407,1.411,1.411,380,152,2.8210526315789473,1.568421052631579,1.0263157894736843,3.3342105263157893,25.278947368421054,40.0
English Premier League,2019/20,760.0,240.0,240.0,280.0,176.0,42.0,22.0,22.0,42.0,90.0,308.0,1048.0,1034.0,1034.0,1.0026315789473683,3.471052631578947,0.5550816155988857,73.33,26.67,9.17,26.67,9.17,32.14,40.53,1.379,1.361,1.361,380,154,2.721052631578947,1.4710526315789474,1.0026315789473683,3.471052631578947,24.723684210526315,40.53
English Premier League,2020/21,760.0,227.0,227.0,306.0,179.0,30.0,18.0,18.0,30.0,100.0,296.0,1057.0,1024.0,1024.0,0.9657894736842105,2.9921052631578946,0.5207251428571429,78.85,21.15,7.93,21.15,7.93,32.68,38.95,1.391,1.347,1.347,380,148,2.694736842105263,1.4236842105263159,0.9657894736842105,2.9921052631578946,24.178947368421053,38.95
English Premier League,2021/22,760.0,229.0,229.0,302.0,174.0,37.0,18.0,18.0,37.0,100.0,310.0,1052.0,1071.0,1071.0,1.0605263157894738,3.5105263157894737,0.5593,75.98,24.02,7.86,24.02,7.86,33.11,40.79,1.384,1.409,1.409,380,155,2.818421052631579,1.5447368421052632,1.0605263157894738,3.5105263157894737,25.58421052631579,40.79
English Premier League,2022/23,760.0,234.0,234.0,292.0,178.0,36.0,20.0,20.0,36.0,95.0,302.0,1053.0,1084.0,1084.0,0.9631578947368421,3.6605263157894736,0.526473949579832,76.07,23.93,8.55,23.93,8.55,32.53,39.74,1.386,1.426,1.426,380,151,2.8526315789473684,1.5315789473684212,0.9631578947368421,3.6605263157894736,25.263157894736842,39.74
English Premier League,2023/24,760.0,227.0,227.0,306.0,164.0,39.0,24.0,24.0,39.0,110.0,346.0,1058.0,1246.0,1246.0,1.1552631578947368,4.323684210526316,0.5909062330623306,72.25,27.75,10.57,27.75,10.57,35.95,45.53,1.392,1.639,1.639,380,173,3.278947368421053,1.918421052631579,1.1552631578947368,4.323684210526316,27.58421052631579,45.53
English Premier League,2024/25,760.0,245.0,245.0,270.0,168.0,48.0,29.0,29.0,48.0,90.0,334.0,1047.0,1115.0,1115.0,1.0289473684210526,4.186842105263158,0.5487546703296703,68.57,31.43,11.84,31.43,11.84,33.33,43.95,1.378,1.467,1.467,380,167,2.9342105263157894,1.5710526315789475,1.0289473684210526,4.186842105263158,25.91842105263158,43.95
French Ligue 1,2015/16,760.0,213.0,213.0,334.0,157.0,42.0,14.0,14.0,42.0,101.0,314.0,1032.0,960.0,960.0,0.9894736842105263,4.065789473684211,0.5954450867052024,73.71,26.29,6.57,26.29,6.57,30.24,41.32,1.358,1.263,1.263,380,157,2.526315789473684,1.4631578947368422,0.9894736842105263,4.065789473684211,23.03157894736842,41.32
French Ligue 1,2016/17,758.0,216.0,216.0,326.0,164.0,37.0,15.0,15.0,37.0,106.0,316.0,1043.0,991.0,991.0,1.029023746701847,3.559366754617414,0.5862999999999999,75.93,24.07,6.94,24.07,6.94,32.52,41.69,1.376,1.307,1.307,379,158,2.6147757255936677,1.5356200527704484,1.029023746701847,3.559366754617414,24.034300791556728,41.69
French Ligue 1,2017/18,760.0,215.0,215.0,330.0,159.0,44.0,12.0,12.0,44.0,113.0,338.0,1044.0,1033.0,1033.0,0.9552631578947368,4.065789473684211,0.5480108635097494,73.95,26.05,5.58,26.05,5.58,34.24,44.47,1.374,1.359,1.359,380,169,2.718421052631579,1.4921052631578948,0.9552631578947368,4.065789473684211,24.81578947368421,44.47
French Ligue 1,2018/19,760.0,210.0,210.0,340.0,149.0,46.0,15.0,15.0,46.0,106.0,334.0,1030.0,972.0,972.0,0.95,3.9342105263157894,0.5903485632183908,70.95,29.05,7.14,29.05,7.14,31.18,43.95,1.355,1.279,1.279,380,167,2.557894736842105,1.5289473684210526,0.95,3.9342105263157894,24.67105263157895,43.95
French Ligue 1,2019/20,558.0,161.0,161.0,236.0,114.0,34.0,13.0,13.0,34.0,82.0,258.0,767.0,704.0,704.0,0.9390681003584229,4.053763440860215,0.5448151162790698,70.81,29.19,8.07,29.19,8.07,34.75,46.24,1.375,1.262,1.262,279,129,2.5232974910394264,1.3691756272401434,0.9390681003584229,4.053763440860215,24.333333333333332,46.24
French Ligue 1,2020/21,760.0,248.0,248.0,264.0,184.0,41.0,23.0,23.0,41.0,78.0,284.0,1045.0,1049.0,1049.0,0.9447368421052632,4.144736842105263,0.537675988700565,74.19,25.81,9.27,25.81,9.27,29.55,37.37,1.375,1.38,1.38,380,142,2.7605263157894737,1.486842105263158,0.9447368421052632,4.144736842105263,23.42105263157895,37.37
French Ligue 1,2021/22,760.0,228.0,228.0,304.0,154.0,43.0,31.0,31.0,43.0,93.0,334.0,1038.0,1067.0,1067.0,1.0473684210526315,4.223684210526316,0.5556536516853933,67.54,32.46,13.6,32.46,13.6,30.59,43.95,1.366,1.404,1.404,380,167,2.807894736842105,1.5315789473684212,1.0473684210526315,4.223684210526316,23.986842105263158,43.95
French Ligue 1,2022/23,760.0,237.0,237.0,286.0,175.0,38.0,24.0,24.0,38.0,89.0,302.0,1048.0,1067.0,1067.0,0.9052631578947369,3.65,0.5404974576271186,73.84,26.16,10.13,26.16,10.13,31.12,39.74,1.379,1.404,1.404,380,151,2.807894736842105,1.5,0.9052631578947369,3.65,24.518421052631577,39.74
French Ligue 1,2023/24,612.0,172.0,172.0,268.0,131.0,28.0,13.0,13.0,28.0,81.0,244.0,837.0,826.0,826.0,0.9052287581699346,4.120915032679738,0.5698078853046595,76.16,23.84,7.56,23.84,7.56,30.22,39.87,1.368,1.35,1.35,306,122,2.6993464052287583,1.4934640522875817,0.9052287581699346,4.120915032679738,25.529411764705884,39.87
