League,Team,TeamMatchRows,LeadOpportunities,BehindOpportunities,LevelOpportunities,ProtectedLeads,LeadSlips,LeadCollapses,ComebackWins,RecoveryDraws,DrawBreakthroughs,StateChanges,Points,GoalsFor,GoalsAgainst,AvgSwingIntensity,AvgTotalMatchCards,AvgSecondHalfGoalShare,LeadShieldPct,CollapseExposurePct,LeadCollapsePct,ResilienceRatePct,ComebackWinRatePct,DrawBreakthroughRatePct,StateChangeRatePct,PointsPerMatch,GoalsForPerMatch,GoalsAgainstPerMatch,QuadrantEligible,TeamProfileQuadrant
English Premier League,Arsenal,380.0,153.0,81.0,146.0,125.0,22.0,6.0,9.0,20.0,77.0,166.0,712.0,709.0,423.0,1.0868421052631578,3.636842105263158,0.5460290858725761,81.7,18.3,3.92,35.8,11.11,52.74,43.68,1.874,1.866,1.113,1,Complete Competitors
English Premier League,Aston Villa,266.0,82.0,85.0,99.0,59.0,10.0,13.0,5.0,12.0,34.0,108.0,347.0,360.0,401.0,1.0526315789473684,4.195488721804511,0.5752284584980237,71.95,28.05,15.85,20.0,5.88,34.34,40.6,1.305,1.353,1.508,1,Reliable Closers
English Premier League,Bournemouth,304.0,77.0,118.0,109.0,54.0,18.0,5.0,11.0,11.0,30.0,114.0,354.0,390.0,514.0,1.0,3.799342105263158,0.5339513888888889,70.13,29.87,6.49,18.64,9.32,27.52,37.5,1.164,1.283,1.691,1,Fragile Performers
English Premier League,Brentford,152.0,44.0,47.0,61.0,31.0,6.0,7.0,5.0,5.0,18.0,57.0,200.0,228.0,224.0,0.9078947368421053,3.5592105263157894,0.554409219858156,70.45,29.55,15.91,21.28,10.64,29.51,37.5,1.316,1.5,1.474,1,Fragile Performers
English Premier League,Brighton,304.0,83.0,102.0,119.0,57.0,19.0,7.0,7.0,24.0,30.0,121.0,380.0,383.0,432.0,0.9243421052631579,3.5822368421052633,0.5559960144927536,68.67,31.33,8.43,30.39,6.86,25.21,39.8,1.25,1.26,1.421,1,Comeback Hunters
English Premier League,Burnley,266.0,57.0,96.0,113.0,42.0,12.0,3.0,5.0,12.0,26.0,102.0,286.0,271.0,398.0,0.8796992481203008,3.1954887218045114,0.5396114285714286,73.68,26.32,5.26,17.71,5.21,23.01,38.35,1.075,1.019,1.496,1,Reliable Closers
English Premier League,Cardiff,38.0,4.0,16.0,18.0,4.0,0.0,0.0,1.0,0.0,5.0,15.0,34.0,34.0,69.0,1.0526315789473684,3.0789473684210527,0.6245088235294117,100.0,0.0,0.0,6.25,6.25,27.78,39.47,0.895,0.895,1.816,0,Small sample
English Premier League,Chelsea,380.0,149.0,71.0,160.0,117.0,27.0,5.0,10.0,7.0,66.0,154.0,668.0,651.0,439.0,1.0052631578947369,3.9342105263157894,0.5654098314606741,78.52,21.48,3.36,23.94,14.08,41.25,40.53,1.758,1.713,1.155,1,Reliable Closers
English Premier League,Crystal Palace,380.0,94.0,122.0,164.0,68.0,15.0,11.0,8.0,31.0,43.0,174.0,458.0,455.0,542.0,0.9763157894736842,3.7026315789473685,0.6045558739255015,72.34,27.66,11.7,31.97,6.56,26.22,45.79,1.205,1.197,1.426,1,Complete Competitors
English Premier League,Everton,380.0,96.0,104.0,180.0,69.0,18.0,9.0,5.0,17.0,55.0,161.0,490.0,469.0,525.0,0.9578947368421052,3.4921052631578946,0.5606529914529914,71.88,28.12,9.38,21.15,4.81,30.56,42.37,1.289,1.234,1.382,1,Reliable Closers
