League,Season,Team,TeamMatchRows,LeadOpportunities,BehindOpportunities,LevelOpportunities,ProtectedLeads,LeadSlips,LeadCollapses,ComebackWins,RecoveryDraws,DrawBreakthroughs,StateChanges,Points,GoalsFor,GoalsAgainst,AvgSwingIntensity,AvgTotalMatchCards,AvgSecondHalfGoalShare,LeadShieldPct,CollapseExposurePct,LeadCollapsePct,ResilienceRatePct,ComebackWinRatePct,DrawBreakthroughRatePct,StateChangeRatePct,PointsPerMatch,GoalsForPerMatch,GoalsAgainstPerMatch
English Premier League,2015/16,Arsenal,38.0,14.0,7.0,17.0,12.0,2.0,0.0,1.0,1.0,7.0,13.0,71.0,65.0,36.0,0.8947368421052632,2.9210526315789473,0.45748823529411764,85.71,14.29,0.0,28.57,14.29,41.18,34.21,1.868,1.711,0.947
English Premier League,2015/16,Aston Villa,38.0,4.0,20.0,14.0,1.0,2.0,1.0,0.0,3.0,2.0,17.0,17.0,27.0,76.0,1.0,3.3947368421052633,0.6038114285714287,25.0,75.0,25.0,15.0,0.0,14.29,44.74,0.447,0.711,2.0
English Premier League,2015/16,Bournemouth,38.0,8.0,17.0,13.0,6.0,1.0,1.0,0.0,2.0,5.0,11.0,42.0,45.0,67.0,0.8157894736842105,2.8947368421052633,0.4442171428571428,75.0,25.0,12.5,11.76,0.0,38.46,28.95,1.105,1.184,1.763
English Premier League,2015/16,Chelsea,38.0,13.0,9.0,16.0,9.0,3.0,1.0,1.0,2.0,2.0,14.0,50.0,59.0,53.0,0.9210526315789473,4.631578947368421,0.5880999999999998,69.23,30.77,7.69,33.33,11.11,12.5,36.84,1.316,1.553,1.395
English Premier League,2015/16,Crystal Palace,38.0,5.0,11.0,22.0,4.0,0.0,1.0,1.0,4.0,6.0,23.0,42.0,39.0,51.0,1.0526315789473684,3.3947368421052633,0.6725470588235294,80.0,20.0,20.0,45.45,9.09,27.27,60.53,1.105,1.026,1.342
English Premier League,2015/16,Everton,38.0,11.0,11.0,16.0,8.0,2.0,1.0,1.0,1.0,2.0,10.0,47.0,59.0,55.0,0.7105263157894737,2.9210526315789473,0.460185294117647,72.73,27.27,9.09,18.18,9.09,12.5,26.32,1.237,1.553,1.447
English Premier League,2015/16,Leicester,38.0,17.0,6.0,15.0,13.0,3.0,1.0,2.0,3.0,8.0,18.0,81.0,68.0,36.0,0.9736842105263158,3.1315789473684212,0.6117083333333332,76.47,23.53,5.88,83.33,33.33,53.33,47.37,2.132,1.789,0.947
English Premier League,2015/16,Liverpool,38.0,11.0,6.0,21.0,9.0,1.0,1.0,1.0,1.0,6.0,15.0,60.0,63.0,50.0,1.0,3.0,0.6203666666666666,81.82,18.18,9.09,33.33,16.67,28.57,39.47,1.579,1.658,1.316
English Premier League,2015/16,Man City,38.0,11.0,8.0,19.0,11.0,0.0,0.0,0.0,0.0,8.0,10.0,66.0,71.0,41.0,0.9736842105263158,3.1842105263157894,0.49740303030303035,100.0,0.0,0.0,0.0,0.0,42.11,26.32,1.737,1.868,1.079
English Premier League,2015/16,Man United,38.0,12.0,4.0,22.0,11.0,1.0,0.0,0.0,0.0,8.0,15.0,66.0,49.0,35.0,0.6578947368421053,3.236842105263158,0.5722212121212121,91.67,8.33,0.0,0.0,0.0,36.36,39.47,1.737,1.289,0.921
English Premier League,2015/16,Newcastle,38.0,8.0,16.0,14.0,6.0,2.0,0.0,1.0,3.0,2.0,15.0,37.0,44.0,65.0,1.131578947368421,3.1315789473684212,0.5968399999999998,75.0,25.0,0.0,25.0,6.25,14.29,39.47,0.974,1.158,1.711
