League,Team,Venue,TeamMatchRows,LeadOpportunities,BehindOpportunities,LevelOpportunities,ProtectedLeads,LeadSlips,LeadCollapses,ComebackWins,RecoveryDraws,DrawBreakthroughs,StateChanges,Points,GoalsFor,GoalsAgainst,AvgSwingIntensity,AvgTotalMatchCards,AvgSecondHalfGoalShare,LeadShieldPct,CollapseExposurePct,LeadCollapsePct,ResilienceRatePct,ComebackWinRatePct,DrawBreakthroughRatePct,StateChangeRatePct,PointsPerMatch,GoalsForPerMatch,GoalsAgainstPerMatch
English Premier League,Arsenal,Away,190.0,66.0,50.0,74.0,53.0,10.0,3.0,2.0,12.0,30.0,79.0,299.0,312.0,240.0,1.0210526315789474,3.6789473684210527,0.5222921787709497,80.3,19.7,4.55,28.0,4.0,40.54,41.58,1.574,1.642,1.263
English Premier League,Arsenal,Home,190.0,87.0,31.0,72.0,72.0,12.0,3.0,7.0,8.0,47.0,87.0,413.0,397.0,183.0,1.1526315789473685,3.594736842105263,0.5693747252747252,82.76,17.24,3.45,48.39,22.58,65.28,45.79,2.174,2.089,0.963
English Premier League,Aston Villa,Away,133.0,33.0,45.0,55.0,21.0,3.0,9.0,1.0,5.0,19.0,58.0,146.0,151.0,211.0,1.112781954887218,4.323308270676692,0.6069015625,63.64,36.36,27.27,13.33,2.22,34.55,43.61,1.098,1.135,1.586
English Premier League,Aston Villa,Home,133.0,49.0,40.0,44.0,38.0,7.0,4.0,4.0,7.0,15.0,50.0,201.0,209.0,190.0,0.9924812030075187,4.067669172932331,0.5427952,77.55,22.45,8.16,27.5,10.0,34.09,37.59,1.511,1.571,1.429
English Premier League,Bournemouth,Away,152.0,34.0,67.0,51.0,23.0,9.0,2.0,5.0,3.0,12.0,52.0,150.0,184.0,294.0,0.9802631578947368,3.6710526315789473,0.5318280821917808,67.65,32.35,5.88,11.94,7.46,23.53,34.21,0.987,1.211,1.934
English Premier League,Bournemouth,Home,152.0,43.0,51.0,58.0,31.0,9.0,3.0,6.0,8.0,18.0,62.0,204.0,206.0,220.0,1.019736842105263,3.9276315789473686,0.5361345070422535,72.09,27.91,6.98,27.45,11.76,31.03,40.79,1.342,1.355,1.447
English Premier League,Brentford,Away,76.0,20.0,31.0,25.0,15.0,1.0,4.0,2.0,3.0,6.0,22.0,86.0,102.0,116.0,0.881578947368421,3.5921052631578947,0.5253549295774649,75.0,25.0,20.0,16.13,6.45,24.0,28.95,1.132,1.342,1.526
English Premier League,Brentford,Home,76.0,24.0,16.0,36.0,16.0,5.0,3.0,3.0,2.0,12.0,35.0,114.0,126.0,108.0,0.9342105263157895,3.526315789473684,0.5838785714285714,66.67,33.33,12.5,31.25,18.75,33.33,46.05,1.5,1.658,1.421
English Premier League,Brighton,Away,152.0,42.0,56.0,54.0,28.0,8.0,6.0,2.0,13.0,11.0,60.0,167.0,182.0,233.0,0.9605263157894737,3.460526315789474,0.5322114285714287,66.67,33.33,14.29,26.79,3.57,20.37,39.47,1.099,1.197,1.533
English Premier League,Brighton,Home,152.0,41.0,46.0,65.0,29.0,11.0,1.0,5.0,11.0,19.0,61.0,213.0,201.0,199.0,0.8881578947368421,3.7039473684210527,0.5804801470588236,70.73,29.27,2.44,34.78,10.87,29.23,40.13,1.401,1.322,1.309
