CaseType,League,Season,Date,Team,Opponent,Venue,HalfTimeState,FullTimeState,TransitionClass,HalfTimeScore,FullTimeScore,SwingIntensity,TotalMatchGoals,TotalMatchShots,TotalMatchCards,ShotsFor,ShotsOnTargetFor,GoalsFor,GoalsAgainst,MatchID
Draw Breakthrough,English Premier League,2015/16,2015-08-08,Aston Villa,Bournemouth,Away,Level,Win,Draw Breakthrough,0-0,1-0,1.0,1,18.0,7.0,7.0,3.0,1,0,English-Premier-League_2015-16_2015-08-08_Bournemouth_vs_Aston-Villa
Recovery Draw,English Premier League,2015/16,2015-08-08,Swansea,Chelsea,Away,Behind,Draw,Recovery Draw,1-2,2-2,1.0,4,29.0,5.0,18.0,10.0,2,2,English-Premier-League_2015-16_2015-08-08_Chelsea_vs_Swansea
Recovery Draw,English Premier League,2015/16,2015-08-08,Everton,Watford,Home,Behind,Draw,Recovery Draw,0-1,2-2,1.0,4,21.0,3.0,10.0,5.0,2,2,English-Premier-League_2015-16_2015-08-08_Everton_vs_Watford
Draw Breakthrough,English Premier League,2015/16,2015-08-09,Liverpool,Stoke,Away,Level,Win,Draw Breakthrough,0-0,1-0,1.0,1,15.0,6.0,8.0,3.0,1,0,English-Premier-League_2015-16_2015-08-09_Stoke_vs_Liverpool
Recovery Draw,English Premier League,2015/16,2015-08-15,Stoke,Tottenham,Away,Behind,Draw,Recovery Draw,0-2,2-2,2.0,4,29.0,4.0,16.0,7.0,2,2,English-Premier-League_2015-16_2015-08-15_Tottenham_vs_Stoke
Draw Breakthrough,English Premier League,2015/16,2015-08-16,Arsenal,Crystal Palace,Away,Level,Win,Draw Breakthrough,1-1,2-1,1.0,3,31.0,2.0,20.0,7.0,2,1,English-Premier-League_2015-16_2015-08-16_Crystal-Palace_vs_Arsenal
Draw Breakthrough,English Premier League,2015/16,2015-08-22,Crystal Palace,Aston Villa,Home,Level,Win,Draw Breakthrough,0-0,2-1,1.0,3,27.0,6.0,16.0,6.0,2,1,English-Premier-League_2015-16_2015-08-22_Crystal-Palace_vs_Aston-Villa
Recovery Draw,English Premier League,2015/16,2015-08-22,Sunderland,Swansea,Home,Behind,Draw,Recovery Draw,0-1,1-1,1.0,2,30.0,6.0,10.0,2.0,1,1,English-Premier-League_2015-16_2015-08-22_Sunderland_vs_Swansea
Draw Breakthrough,English Premier League,2015/16,2015-08-23,Man City,Everton,Away,Level,Win,Draw Breakthrough,0-0,2-0,2.0,2,26.0,3.0,16.0,9.0,2,0,English-Premier-League_2015-16_2015-08-23_Everton_vs_Man-City
Recovery Draw,English Premier League,2015/16,2015-08-29,Sunderland,Aston Villa,Away,Behind,Draw,Recovery Draw,1-2,2-2,1.0,4,28.0,3.0,7.0,3.0,2,2,English-Premier-League_2015-16_2015-08-29_Aston-Villa_vs_Sunderland
Recovery Draw,English Premier League,2015/16,2015-08-29,Leicester,Bournemouth,Away,Behind,Draw,Recovery Draw,0-1,1-1,1.0,2,9.0,6.0,4.0,2.0,1,1,English-Premier-League_2015-16_2015-08-29_Bournemouth_vs_Leicester
Draw Breakthrough,English Premier League,2015/16,2015-08-29,Crystal Palace,Chelsea,Away,Level,Win,Draw Breakthrough,0-0,2-1,1.0,3,39.0,2.0,13.0,6.0,2,1,English-Premier-League_2015-16_2015-08-29_Chelsea_vs_Crystal-Palace
Draw Breakthrough,English Premier League,2015/16,2015-08-29,Man City,Watford,Home,Level,Win,Draw Breakthrough,0-0,2-0,2.0,2,25.0,3.0,18.0,5.0,2,0,English-Premier-League_2015-16_2015-08-29_Man-City_vs_Watford
Draw Breakthrough,English Premier League,2015/16,2015-08-29,Arsenal,Newcastle,Away,Level,Win,Draw Breakthrough,0-0,1-0,1.0,1,23.0,8.0,22.0,9.0,1,0,English-Premier-League_2015-16_2015-08-29_Newcastle_vs_Arsenal
Draw Breakthrough,English Premier League,2015/16,2015-08-30,Swansea,Man United,Home,Level,Win,Draw Breakthrough,0-0,2-1,1.0,3,20.0,4.0,9.0,4.0,2,1,English-Premier-League_2015-16_2015-08-30_Swansea_vs_Man-United
Draw Breakthrough,English Premier League,2015/16,2015-09-12,Man City,Crystal Palace,Away,Level,Win,Draw Breakthrough,0-0,1-0,1.0,1,31.0,5.0,21.0,7.0,1,0,English-Premier-League_2015-16_2015-09-12_Crystal-Palace_vs_Man-City
Draw Breakthrough,English Premier League,2015/16,2015-09-12,Man United,Liverpool,Home,Level,Win,Draw Breakthrough,0-0,3-1,2.0,4,17.0,3.0,9.0,3.0,3,1,English-Premier-League_2015-16_2015-09-12_Man-United_vs_Liverpool
Draw Breakthrough,English Premier League,2015/16,2015-09-12,Watford,Swansea,Home,Level,Win,Draw Breakthrough,0-0,1-0,1.0,1,25.0,3.0,17.0,6.0,1,0,English-Premier-League_2015-16_2015-09-12_Watford_vs_Swansea
Lead Collapse,English Premier League,2015/16,2015-09-13,Aston Villa,Leicester,Away,Ahead,Loss,Lead Collapse,1-0,2-3,2.0,5,32.0,3.0,11.0,4.0,2,3,English-Premier-League_2015-16_2015-09-13_Leicester_vs_Aston-Villa
Comeback Win,English Premier League,2015/16,2015-09-13,Leicester,Aston Villa,Home,Behind,Win,Comeback Win,0-1,3-2,2.0,5,32.0,3.0,21.0,6.0,3,2,English-Premier-League_2015-16_2015-09-13_Leicester_vs_Aston-Villa
Draw Breakthrough,English Premier League,2015/16,2015-09-13,Tottenham,Sunderland,Away,Level,Win,Draw Breakthrough,0-0,1-0,1.0,1,27.0,3.0,15.0,4.0,1,0,English-Premier-League_2015-16_2015-09-13_Sunderland_vs_Tottenham
Draw Breakthrough,English Premier League,2015/16,2015-09-19,Chelsea,Arsenal,Home,Level,Win,Draw Breakthrough,0-0,2-0,2.0,2,31.0,6.0,22.0,7.0,2,0,English-Premier-League_2015-16_2015-09-19_Chelsea_vs_Arsenal
Recovery Draw,English Premier League,2015/16,2015-09-19,Leicester,Stoke,Away,Behind,Draw,Recovery Draw,0-2,2-2,2.0,4,23.0,5.0,12.0,5.0,2,2,English-Premier-League_2015-16_2015-09-19_Stoke_vs_Leicester
Draw Breakthrough,English Premier League,2015/16,2015-09-20,Man United,Southampton,Away,Level,Win,Draw Breakthrough,1-1,3-2,1.0,5,25.0,2.0,10.0,3.0,3,2,English-Premier-League_2015-16_2015-09-20_Southampton_vs_Man-United
Draw Breakthrough,English Premier League,2015/16,2015-09-20,Tottenham,Crystal Palace,Home,Level,Win,Draw Breakthrough,0-0,1-0,1.0,1,34.0,3.0,22.0,6.0,1,0,English-Premier-League_2015-16_2015-09-20_Tottenham_vs_Crystal-Palace
Recovery Draw,English Premier League,2015/16,2015-09-26,Chelsea,Newcastle,Away,Behind,Draw,Recovery Draw,0-1,2-2,1.0,4,27.0,3.0,16.0,4.0,2,2,English-Premier-League_2015-16_2015-09-26_Newcastle_vs_Chelsea
Draw Breakthrough,English Premier League,2015/16,2015-09-26,Tottenham,Man City,Home,Level,Win,Draw Breakthrough,1-1,4-1,3.0,5,37.0,6.0,15.0,8.0,4,1,English-Premier-League_2015-16_2015-09-26_Tottenham_vs_Man-City
Draw Breakthrough,English Premier League,2015/16,2015-09-27,Crystal Palace,Watford,Away,Level,Win,Draw Breakthrough,0-0,1-0,1.0,1,31.0,8.0,16.0,3.0,1,0,English-Premier-League_2015-16_2015-09-27_Watford_vs_Crystal-Palace
Comeback Win,English Premier League,2015/16,2015-09-28,Everton,West Brom,Away,Behind,Win,Comeback Win,0-1,3-2,2.0,5,21.0,3.0,12.0,4.0,3,2,English-Premier-League_2015-16_2015-09-28_West-Brom_vs_Everton
Lead Collapse,English Premier League,2015/16,2015-09-28,West Brom,Everton,Home,Ahead,Loss,Lead Collapse,1-0,2-3,2.0,5,21.0,3.0,9.0,4.0,2,3,English-Premier-League_2015-16_2015-09-28_West-Brom_vs_Everton
Draw Breakthrough,English Premier League,2015/16,2015-10-03,Stoke,Aston Villa,Away,Level,Win,Draw Breakthrough,0-0,1-0,1.0,1,25.0,1.0,12.0,5.0,1,0,English-Premier-League_2015-16_2015-10-03_Aston-Villa_vs_Stoke
Draw Breakthrough,English Premier League,2015/16,2015-10-03,Southampton,Chelsea,Away,Level,Win,Draw Breakthrough,1-1,3-1,2.0,4,23.0,7.0,13.0,5.0,3,1,English-Premier-League_2015-16_2015-10-03_Chelsea_vs_Southampton
Draw Breakthrough,English Premier League,2015/16,2015-10-03,Crystal Palace,West Brom,Home,Level,Win,Draw Breakthrough,0-0,2-0,2.0,2,28.0,6.0,21.0,8.0,2,0,English-Premier-League_2015-16_2015-10-03_Crystal-Palace_vs_West-Brom
Draw Breakthrough,English Premier League,2015/16,2015-10-03,Man City,Newcastle,Home,Level,Win,Draw Breakthrough,1-1,6-1,5.0,7,29.0,4.0,23.0,11.0,6,1,English-Premier-League_2015-16_2015-10-03_Man-City_vs_Newcastle
Recovery Draw,English Premier League,2015/16,2015-10-03,West Ham,Sunderland,Away,Behind,Draw,Recovery Draw,1-2,2-2,1.0,4,32.0,7.0,20.0,6.0,2,2,English-Premier-League_2015-16_2015-10-03_Sunderland_vs_West-Ham
